jurisdiction,office,district,candidate_name,committee_name,period_start,period_end,date_filed,monetary_contributions,loans_received,total_contributions,total_expenditures,cash_on_hand,outstanding_debt,amended,link,jurisdiction
San Diego County,Supervisor,5,John Franklin,John Franklin for Supervisor 2026,1/1/25,6/30/25,7/31/25,"$231,366.00",$0.00,"$231,366.00","$95,690.43","$615,569.28","$30,115.70",,,https://theballotbook.com/jurisdictions/228
San Diego County,Supervisor,5,John Franklin,John Franklin for Supervisor 2026,7/1/24,12/31/24,1/31/25,"$25,699.00",$0.00,"$25,699.00","$9,869.26","$449,531.26",$0.00,,,https://theballotbook.com/jurisdictions/228
San Diego County,Supervisor,5,John Franklin,John Franklin for Supervisor 2026,2/18/24,6/30/24,7/31/24,"$46,502.00",$0.00,"$46,502.00","$4,791.08","$435,588.76","$1,887.24",,,https://theballotbook.com/jurisdictions/228
San Diego County,Supervisor,5,John Franklin,John Franklin for Supervisor 2026,1/21/24,2/27/24,2/20/24,"$3,099.00",$0.00,"$3,099.00","$2,038.21","$391,990.60",$0.00,,,https://theballotbook.com/jurisdictions/228
San Diego County,Supervisor,5,John Franklin,John Franklin for Supervisor 2026,1/1/24,1/20/24,1/24/24,"$4,314.00",$0.00,"$4,314.00",$777.00,"$390,929.81",$0.00,,,https://theballotbook.com/jurisdictions/228
San Diego County,Supervisor,5,John Franklin,John Franklin for Supervisor 2026,1/1/23,12/31/23,1/5/24,"$405,907.99",$55.00,"$406,407.99","$19,015.18","$387,392.81",$0.00,,,https://theballotbook.com/jurisdictions/228
San Diego County,Supervisor,5,Rebecca Jones,Jones for Supervisor 2026,1/1/25,6/30/25,7/31/25,"$97,358.80",$0.00,"$99,465.71","$36,068.40","$148,428.50","$1,700.00",,,https://theballotbook.com/jurisdictions/228
San Diego County,Supervisor,5,Rebecca Jones,Jones for Supervisor 2026,7/1/24,12/31/24,1/31/25,"$6,615.24",$0.00,"$6,615.24","$11,044.48","$83,331.19",$0.00,,,https://theballotbook.com/jurisdictions/228
San Diego County,Supervisor,5,Rebecca Jones,Jones for Supervisor 2026,1/1/24,6/30/24,7/31/24,"$119,112.45",$0.00,"$119,112.45","$31,352.03","$95,269.60","$7,509.17",,,https://theballotbook.com/jurisdictions/228
San Diego County,Supervisor,5,Kyle Krahel,Kyle Krahel for San Diego County Supervisor 2026,,,,,,,,,,,,https://theballotbook.com/jurisdictions/228
San Diego County,Supervisor,4,Monica Montgomery Steppe,Re-Elect Montgomery Steppe for Supervisor 2026,7/1/24,21/31/2024,1/30/25,"$13,502.26",$0.00,"$13,502.26","$3,320.00","$10,182.26",$0.00,,,https://theballotbook.com/jurisdictions/227
San Diego County,Supervisor,4,Monica Montgomery Steppe,Re-Elect Montgomery Steppe for Supervisor 2026,1/1/24,6/30/24,7/31/24,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,https://theballotbook.com/jurisdictions/227
San Diego County,Supervisor,4,Monica Montgomery Steppe,Re-Elect Montgomery Steppe for Supervisor 2026,1/1/25,6/30/25,7/31/25,$0.00,$0.00,$0.00,"$1,916.07","$8,887.26",$621.07,,,https://theballotbook.com/jurisdictions/227
San Diego County,Assessor,,Jordan Marks,Marks for Assessor 2026,1/1/25,6/30/25,8/12/25,"$670,016.00",$9.00,"$670,016.00","$73,787.77","$641,569.03","$42,000.00",1,,https://theballotbook.com/jurisdictions/9
